trial,alpha,V,delta_V,lambda,theta,dataset_id,alpha1,alpha2,V1,V2,delta_V1,delta_V2,alpha1_init,alpha2_init,phase
15,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9994641771915772,0.19831841446510054,0.0003572152056152245,0.0032196047611843352,0.85,0.25,
16,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9996785063149464,0.20152514080724013,0.00021432912336911692,0.003206726342139598,0.85,0.25,
17,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9998071037889679,0.20471904024401116,0.0001285974740214524,0.0031938994367710395,0.85,0.25,
18,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9998842622733807,0.20790016408303513,7.715848441285367e-05,0.0031811238390239555,0.85,0.25,
19,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999305573640284,0.211068563426703,4.629509064772997e-05,0.0031683993436678595,0.85,0.25,
20,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.999958334418417,0.21422428917299619,2.7777054388655745e-05,0.003155725746293188,0.85,0.25,
21,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999750006510502,0.2173673920163042,1.666623263321121e-05,0.0031431028433080155,0.85,0.25,
22,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999850003906301,0.220497922448239,9.999739579935607e-06,0.0031305304319347834,0.85,0.25,
23,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.999991000234378,0.22361593075844602,5.999843747961365e-06,0.0031180083102070443,0.85,0.25,
24,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999946001406268,0.22672146703541224,3.5999062487857004e-06,0.003105536276966216,0.85,0.25,
25,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999967600843761,0.22981458116727058,2.159943749280302e-06,0.0030931141318583507,0.85,0.25,
26,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999980560506256,0.2328953228426015,1.2959662495592995e-06,0.0030807416753309176,0.85,0.25,
27,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999988336303753,0.2359637415512311,7.775797497444615e-07,0.003068418708629594,0.85,0.25,
28,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999993001782252,0.23901988658502618,4.6654784986444046e-07,0.0030561450337950754,0.85,0.25,
29,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.9999995801069351,0.24206380703868607,2.799287099009007e-07,0.0030439204536598955,0.85,0.25,
30,,,,1.0,0.4,Overshadowing_4,1.0,0.01,0.999999748064161,0.24509555181053133,1.679572259494222e-07,0.003031744771845256,0.85,0.25,
1,,,,1.0,0.5,Overshadowing_5,0.9,0.01,0.375,0.075,0.375,0.075,0.75,0.15,
2,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.65625,0.079625,0.28125,0.004625000000000001,0.75,0.15,
3,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.828125,0.084226875,0.171875,0.004601875,0.75,0.15,
4,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9140625,0.088805740625,0.0859375,0.004578865625,0.75,0.15,
5,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.95703125,0.093361711921875,0.04296875,0.004555971296875,0.75,0.15,
6,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.978515625,0.09789490336226563,0.021484375,0.004533191440390625,0.75,0.15,
7,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9892578125,0.1024054288454543,0.0107421875,0.004510525483188672,0.75,0.15,
8,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.99462890625,0.10689340170122702,0.00537109375,0.0044879728557727285,0.75,0.15,
9,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.997314453125,0.11135893469272089,0.002685546875,0.004465532991493865,0.75,0.15,
10,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9986572265625,0.11580214001925729,0.0013427734375,0.0044432053265363956,0.75,0.15,
11,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.99932861328125,0.120223129319161,0.00067138671875,0.004420989299903714,0.75,0.15,
12,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.999664306640625,0.1246220136725652,0.000335693359375,0.004398884353404195,0.75,0.15,
13,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9998321533203125,0.12899890360420238,0.0001678466796875,0.004376889931637174,0.75,0.15,
14,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999160766601562,0.13335390908618136,8.392333984375e-05,0.004355005481978988,0.75,0.15,
15,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999580383300781,0.13768713954075046,4.1961669921875e-05,0.004333230454569093,0.75,0.15,
16,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999790191650391,0.14199870384304672,2.09808349609375e-05,0.004311564302296248,0.75,0.15,
17,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999895095825195,0.14628871032383148,1.049041748046875e-05,0.004290006480784767,0.75,0.15,
18,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999947547912598,0.15055726677221232,5.245208740234375e-06,0.004268556448380843,0.75,0.15,
19,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999973773956299,0.15480448043835127,2.6226043701171875e-06,0.004247213666138938,0.75,0.15,
20,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999986886978149,0.1590304580361595,1.3113021850585938e-06,0.0042259775978082436,0.75,0.15,
21,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999993443489075,0.16323530574597872,6.556510925292969e-07,0.004204847709819203,0.75,0.15,
22,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999996721744537,0.16741912921724883,3.2782554626464844e-07,0.004183823471270106,0.75,0.15,
23,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999998360872269,0.17158203357116258,1.6391277313232422e-07,0.004162904353913755,0.75,0.15,
24,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999180436134,0.17572412340330676,8.195638656616211e-08,0.004142089832144187,0.75,0.15,
25,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999590218067,0.17984550278629022,4.0978193283081055e-08,0.004121379382983466,0.75,0.15,
26,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999795109034,0.18394627527235877,2.0489096641540527e-08,0.004100772486068549,0.75,0.15,
27,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999897554517,0.18802654389599696,1.0244548320770264e-08,0.004080268623638207,0.75,0.15,
28,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999948777258,0.19208641117651698,5.122274160385132e-09,0.004059867280520015,0.75,0.15,
29,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999974388629,0.1961259791206344,2.561137080192566e-09,0.004039567944117415,0.75,0.15,
30,,,,1.0,0.5,Overshadowing_5,1.0,0.01,0.9999999987194315,0.20014534922503122,1.280568540096283e-09,0.0040193701043968275,0.75,0.15,
1,,,,1.0,0.1,Blocking_1,0.505,0.5,0.05,0.0,0.05,0.0,,,Phase1
2,,,,1.0,0.1,Blocking_1,0.5147975,0.5,0.097975,0.0,0.047975000000000004,0.0,,,Phase1
3,,,,1.0,0.1,Blocking_1,0.529238602149375,0.5,0.14441102149375,0.0,0.04643602149375,0.0,,,Phase1
4,,,,1.0,0.1,Blocking_1,0.5482078114487406,0.5,0.18969209299365597,0.0,0.04528107149990594,0.0,,,Phase1
5,,,,1.0,0.1,Blocking_1,0.5716191919911018,0.5,0.2341138054236117,0.0,0.044421712429955754,0.0,,,Phase1
6,,,,1.0,0.1,Blocking_1,0.5994085250104719,0.5,0.2778933301937012,0.0,0.043779524770089485,0.0,,,Phase1
7,,,,1.0,0.1,Blocking_1,0.6315262269683303,0.5,0.32117701957858297,0.0,0.043283689384881745,0.0,,,Phase1
8,,,,1.0,0.1,Blocking_1,0.667930874082238,0.5,0.3640464711390764,0.0,0.04286945156049342,0.0,,,Phase1
9,,,,1.0,0.1,Blocking_1,0.7085832511602232,0.5,0.40652377077985247,0.0,0.042477299640776046,0.0,,,Phase1
10,,,,1.0,0.1,Blocking_1,0.7534409013980797,0.5,0.44857650237856467,0.0,0.04205273159871221,0.0,,,Phase1
11,,,,1.0,0.1,Blocking_1,0.8024532018069359,0.5,0.4901230040885623,0.0,0.041546501709997616,0.0,,,Phase1
12,,,,1.0,0.1,Blocking_1,0.8555570264947605,0.5,0.5310382468782459,0.0,0.040915242789683524,0.0,,,Phase1
13,,,,1.0,0.1,Blocking_1,0.9126730864129913,0.5,0.5711605991823077,0.0,0.0401223523040618,0.0,,,Phase1
14,,,,1.0,0.1,Blocking_1,0.9737030481264198,0.5,0.6102996171342858,0.0,0.03913901795197811,0.0,,,Phase1
15,,,,1.0,0.1,Blocking_1,1.0,0.5,0.6482448621995237,0.0,0.03794524506523787,0.0,,,Phase1
16,,,,1.0,0.1,Blocking_1,1.0,0.5,0.6834203759795714,0.0,0.03517551378004763,0.0,,,Phase1
17,,,,1.0,0.1,Blocking_1,1.0,0.5,0.7150783383816143,0.0,0.03165796240204286,0.0,,,Phase1
18,,,,1.0,0.1,Blocking_1,1.0,0.5,0.7435705045434529,0.0,0.028492166161838573,0.0,,,Phase1
19,,,,1.0,0.1,Blocking_1,1.0,0.5,0.7692134540891076,0.0,0.025642949545654714,0.0,,,Phase1
20,,,,1.0,0.1,Blocking_1,1.0,0.5,0.7922921086801968,0.0,0.023078654591089244,0.0,,,Phase1
21,,,,1.0,0.1,Blocking_1,1.0,0.42369371021878227,0.8130628978121771,0.05,0.020770789131980317,0.05,,,Phase2
22,,,,1.0,0.1,Blocking_1,1.0,0.34954313966276473,0.8317566080309594,0.09025090247078432,0.01869371021878229,0.04025090247078432,,,Phase2
23,,,,1.0,0.1,Blocking_1,1.0,0.2768901007456141,0.8485809472278635,0.1220505580563572,0.01682433919690406,0.031799655585572885,,,Phase2
24,,,,1.0,0.1,Blocking_1,1.0,0.20515382639503543,0.8637228525050771,0.1463601089992903,0.015141905277213652,0.024309550942933095,,,Phase2
25,,,,1.0,0.1,Blocking_1,1.0,0.1338060554695299,0.8773505672545694,0.16387285799951395,0.013627714749492294,0.01751274900022366,,,Phase2
26,,,,1.0,0.1,Blocking_1,1.0,0.062350578963991,0.8896155105291125,0.1750607454737236,0.012264943274543062,0.011187887474209655,,,Phase2
27,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9006539594762012,0.18020428948670725,0.011038448947088754,0.005143544012983647,,,Phase2
28,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9105885635285811,0.18102408519722055,0.009934604052379881,0.0008197957105132927,,,Phase2
29,,,,1.0,0.1,Blocking_1,1.0,0.01,0.919529707175723,0.18184306111202334,0.008941143647141893,0.0008189759148027794,,,Phase2
30,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9275767364581508,0.18266121805091132,0.008047029282427698,0.0008181569388879767,,,Phase2
31,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9348190628123356,0.1834785568328604,0.007242326354184925,0.0008173387819490887,,,Phase2
32,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9413371565311021,0.18429507827602754,0.006518093718766438,0.0008165214431671397,,,Phase2
33,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9472034408779919,0.1851107831977515,0.005866284346889794,0.0008157049217239725,,,Phase2
34,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9524830967901927,0.18592567241455377,0.005279655912200809,0.0008148892168022485,,,Phase2
35,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9572347871111735,0.18673974674213922,0.004751690320980728,0.0008140743275854463,,,Phase2
36,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9615113084000562,0.1875530069953971,0.0042765212888826514,0.0008132602532578608,,,Phase2
37,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9653601775600505,0.18836545398840168,0.0038488691599943836,0.0008124469930046029,,,Phase2
38,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9688241598040455,0.18917708853441328,0.0034639822439949453,0.0008116345460115983,,,Phase2
39,,,,1.0,0.1,Blocking_1,1.0,0.01,0.971941743823641,0.18998791144587887,0.0031175840195954542,0.0008108229114655867,,,Phase2
40,,,,1.0,0.1,Blocking_1,1.0,0.01,0.9747475694412768,0.19079792353443298,0.0028058256176359043,0.0008100120885541211,,,Phase2
1,,,,1.0,0.2,Blocking_2,0.52,0.5,0.1,0.0,0.1,0.0,,,Phase1
2,,,,1.0,0.2,Blocking_2,0.55872,0.5,0.19360000000000002,0.0,0.09360000000000002,0.0,,,Phase1
3,,,,1.0,0.2,Blocking_2,0.61546207232,0.5,0.2837103616,0.0,0.09011036160000001,0.0,,,Phase1
4,,,,1.0,0.2,Blocking_2,0.6898381088492404,0.5,0.3718801826462015,0.0,0.0881698210462015,0.0,,,Phase1
5,,,,1.0,0.2,Blocking_2,0.7815461848558436,0.5,0.45854038003301645,0.0,0.08666019738681494,0.0,,,Phase1
6,,,,1.0,0.2,Blocking_2,0.8901812888719945,0.5,0.5431755200807546,0.0,0.08463514004773819,0.0,,,Phase1
7,,,,1.0,0.2,Blocking_2,1.0,0.5,0.6245068409453132,0.0,0.08133132086455848,0.0,,,Phase1
8,,,,1.0,0.2,Blocking_2,1.0,0.5,0.6996054727562505,0.0,0.07509863181093737,0.0,,,Phase1
9,,,,1.0,0.2,Blocking_2,1.0,0.5,0.7596843782050005,0.0,0.0600789054487499,0.0,,,Phase1
10,,,,1.0,0.2,Blocking_2,1.0,0.5,0.8077475025640004,0.0,0.04806312435899991,0.0,,,Phase1
11,,,,1.0,0.2,Blocking_2,1.0,0.5,0.8461980020512003,0.0,0.03845049948719992,0.0,,,Phase1
12,,,,1.0,0.2,Blocking_2,1.0,0.5,0.8769584016409603,0.0,0.030760399589759936,0.0,,,Phase1
13,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9015667213127683,0.0,0.024608319671807946,0.0,,,Phase1
14,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9212533770502146,0.0,0.019686655737446348,0.0,,,Phase1
15,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9370027016401716,0.0,0.015749324589957082,0.0,,,Phase1
16,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9496021613121373,0.0,0.012599459671965674,0.0,,,Phase1
17,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9596817290497098,0.0,0.01007956773757255,0.0,,,Phase1
18,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9677453832397679,0.0,0.008063654190058034,0.0,,,Phase1
19,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9741963065918143,0.0,0.006450923352046423,0.0,,,Phase1
20,,,,1.0,0.2,Blocking_2,1.0,0.5,0.9793570452734515,0.0,0.005160738681637134,0.0,,,Phase1
21,,,,1.0,0.2,Blocking_2,1.0,0.32330287275624775,0.9834856362187612,0.1,0.004128590945309707,0.1,,,Phase2
22,,,,1.0,0.2,Blocking_2,1.0,0.1575840743804709,0.9867885089750089,0.15819451709612461,0.003302872756247766,0.0581945170961246,,,Phase2
23,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9894308071800071,0.1847255446624871,0.002642298204998217,0.026531027566362504,,,Phase2
24,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9915446457440057,0.18635609357316213,0.0021138385639985825,0.0016305489106750257,,,Phase2
25,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9932357165952046,0.1879833813860158,0.0016910708511988616,0.001627287812853676,,,Phase2
26,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9945885732761637,0.18960741462324376,0.0013528566809590803,0.0016240332372279684,,,Phase2
27,,,,1.0,0.2,Blocking_2,1.0,0.01,0.995670858620931,0.19122819979399727,0.0010822853447672643,0.0016207851707535125,,,Phase2
28,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9965366868967448,0.19284574339440927,0.000865828275813807,0.0016175436004120054,,,Phase2
29,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9972293495173958,0.19446005190762045,0.0006926626206510411,0.0016143085132111815,,,Phase2
30,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9977834796139167,0.1960711318038052,0.0005541300965208329,0.001611079896184759,,,Phase2
31,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9982267836911334,0.19767898954019758,0.0004433040772166663,0.0016078577363923896,,,Phase2
32,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9985814269529067,0.1992836315611172,0.0003546432617733242,0.001604642020919605,,,Phase2
33,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9988651415623254,0.20088506429799496,0.0002837146094186505,0.0016014327368777657,,,Phase2
34,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9990921132498604,0.20248329416939898,0.00022697168753491593,0.0015982298714040102,,,Phase2
35,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9992736905998882,0.20407832758106018,0.0001815773500279283,0.001595033411661202,,,Phase2
36,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9994189524799106,0.20567017092589807,0.00014526188002235153,0.0015918433448378797,,,Phase2
37,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9995351619839286,0.20725883058404626,0.00011620950401787234,0.0015886596581482038,,,Phase2
38,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9996281295871429,0.20884431292287817,9.296760321428899e-05,0.0015854823388319074,,,Phase2
39,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9997025036697142,0.2104266242970324,7.437408257142675e-05,0.0015823113741542437,,,Phase2
40,,,,1.0,0.2,Blocking_2,1.0,0.01,0.9997620029357714,0.21200577104843835,5.9499266057150284e-05,0.0015791467514059353,,,Phase2
1,,,,1.0,0.3,Blocking_3,0.545,0.5,0.15,0.0,0.15,0.0,,,Phase1
2,,,,1.0,0.3,Blocking_3,0.6316925,0.5,0.288975,0.0,0.13897500000000002,0.0,,,Phase1
3,,,,1.0,0.3,Blocking_3,0.758808424383125,0.5,0.42371974794375,0.0,0.13474474794375,0.0,,,Phase1
4,,,,1.0,0.3,Blocking_3,0.9252801166721822,0.5,0.554905640963524,0.0,0.13118589301977396,0.0,,,Phase1
5,,,,1.0,0.3,Blocking_3,1.0,0.5,0.6784567291013442,0.0,0.1235510881378202,0.0,,,Phase1
6,,,,1.0,0.3,Blocking_3,1.0,0.5,0.774919710370941,0.0,0.09646298126959672,0.0,,,Phase1
7,,,,1.0,0.3,Blocking_3,1.0,0.5,0.8424437972596587,0.0,0.06752408688871771,0.0,,,Phase1
8,,,,1.0,0.3,Blocking_3,1.0,0.5,0.8897106580817611,0.0,0.047266860822102394,0.0,,,Phase1
9,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9227974606572328,0.0,0.033086802575471676,0.0,,,Phase1
10,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9459582224600629,0.0,0.023160761802830165,0.0,,,Phase1
11,,,,1.0,0.3,Blocking_3,1.0,0.5,0.962170755722044,0.0,0.016212533261981132,0.0,,,Phase1
12,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9735195290054308,0.0,0.011348773283386793,0.0,,,Phase1
13,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9814636703038015,0.0,0.007944141298370755,0.0,,,Phase1
14,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9870245692126611,0.0,0.005560898908859535,0.0,,,Phase1
15,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9909171984488628,0.0,0.003892629236201661,0.0,,,Phase1
16,,,,1.0,0.3,Blocking_3,1.0,0.5,0.993642038914204,0.0,0.0027248404653411494,0.0,,,Phase1
17,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9955494272399428,0.0,0.0019073883257388013,0.0,,,Phase1
18,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9968845990679599,0.0,0.0013351718280171676,0.0,,,Phase1
19,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9978192193475719,0.0,0.0009346202796120306,0.0,,,Phase1
20,,,,1.0,0.3,Blocking_3,1.0,0.5,0.9984734535433003,0.0,0.0006542341957284315,0.0,,,Phase1
21,,,,1.0,0.3,Blocking_3,1.0,0.24532057475590696,0.9989314174803102,0.15,0.00045796393700990866,0.15,,,Phase2
22,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9992519922362172,0.21255674656275628,0.0003205747559069327,0.06255674656275628,,,Phase2
23,,,,1.0,0.3,Blocking_3,1.0,0.01,0.999476394565352,0.214919076323068,0.00022440232913484293,0.0023623297603117314,,,Phase2
24,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9996334761957464,0.2172743190940988,0.0001570816303944067,0.002355242771030796,,,Phase2
25,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9997434333370224,0.2196224961368165,0.00010995714127608468,0.002348177042717704,,,Phase2
26,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9998204033359157,0.22196362864840605,7.696999889327261e-05,0.0023411325115895503,,,Phase2
27,,,,1.0,0.3,Blocking_3,1.0,0.01,0.999874282335141,0.22429773776246084,5.3878999225287495e-05,0.002334109114054782,,,Phase2
28,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999119976345987,0.22662484454917345,3.7715299457707906e-05,0.0023271067867126176,,,Phase2
29,,,,1.0,0.3,Blocking_3,1.0,0.01,0.999938398344219,0.22894497001552594,2.6400709620388873e-05,0.0023201254663524798,,,Phase2
30,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999568788409533,0.23125813510547935,1.8480496734285533e-05,0.002313165089953422,,,Phase2
31,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999698151886673,0.23356436070016293,1.2936347714009866e-05,0.0023062255946835622,,,Phase2
32,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999788706320671,0.23586366761806243,9.055443399796914e-06,0.0022993069178995113,,,Phase2
33,,,,1.0,0.3,Blocking_3,1.0,0.01,0.999985209442447,0.23815607661520824,6.33881037985784e-06,0.0022924089971458127,,,Phase2
34,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999896466097129,0.2404416083853626,4.43716726591381e-06,0.0022855317701543755,,,Phase2
35,,,,1.0,0.3,Blocking_3,1.0,0.01,0.999992752626799,0.24272028356020653,3.106017086129675e-06,0.002278675174843912,,,Phase2
36,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999949268387593,0.24499212270952592,2.1742119603040955e-06,0.0022718391493193805,,,Phase2
37,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999964487871316,0.24725714634139734,1.5219483721962134e-06,0.002265023631871422,,,Phase2
38,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999975141509921,0.24951537490237313,1.0653638605306881e-06,0.002258228560975808,,,Phase2
39,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999982599056945,0.25176682877766604,7.45754702358159e-07,0.0022514538752928808,,,Phase2
40,,,,1.0,0.3,Blocking_3,1.0,0.01,0.9999987819339862,0.25401152829133306,5.220282916607032e-07,0.002244699513667002,,,Phase2
1,,,,1.0,0.4,Blocking_4,0.58,0.5,0.2,0.0,0.2,0.0,,,Phase1
2,,,,1.0,0.4,Blocking_4,0.73424,0.5,0.3856,0.0,0.1856,0.0,,,Phase1
3,,,,1.0,0.4,Blocking_4,0.96065872896,0.5,0.5660468224,0.0,0.1804468224,0.0,,,Phase1
4,,,,1.0,0.4,Blocking_4,1.0,0.5,0.7327991856085477,0.0,0.16675236320854767,0.0,,,Phase1
5,,,,1.0,0.4,Blocking_4,1.0,0.5,0.8396795113651286,0.0,0.10688032575658091,0.0,,,Phase1
6,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9038077068190772,0.0,0.06412819545394854,0.0,,,Phase1
7,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9422846240914463,0.0,0.03847691727236913,0.0,,,Phase1
8,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9653707744548677,0.0,0.023086150363421477,0.0,,,Phase1
9,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9792224646729206,0.0,0.013851690218052904,0.0,,,Phase1
10,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9875334788037524,0.0,0.008311014130831752,0.0,,,Phase1
11,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9925200872822515,0.0,0.004986608478499033,0.0,,,Phase1
12,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9955120523693509,0.0,0.002991965087099402,0.0,,,Phase1
13,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9973072314216106,0.0,0.0017951790522596324,0.0,,,Phase1
14,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9983843388529664,0.0,0.0010771074313557615,0.0,,,Phase1
15,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9990306033117798,0.0,0.0006462644588134392,0.0,,,Phase1
16,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9994183619870679,0.0,0.0003877586752880635,0.0,,,Phase1
17,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9996510171922407,0.0,0.00023265520517283813,0.0,,,Phase1
18,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9997906103153444,0.0,0.00013959312310372063,0.0,,,Phase1
19,,,,1.0,0.4,Blocking_4,1.0,0.5,0.9998743661892067,0.0,8.37558738622235e-05,0.0,,,Phase1
20,,,,1.0,0.4,Blocking_4,1.0,0.5,0.999924619713524,0.0,5.02535243173341e-05,0.0,,,Phase1
21,,,,1.0,0.4,Blocking_4,1.0,0.18001809126875418,0.9999547718281144,0.2,3.015211459040934e-05,0.2,,,Phase2
22,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999728630968686,0.25760578920600136,1.809126875422784e-05,0.05760578920600134,,,Phase2
23,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999837178581211,0.26057536604917736,1.0854761252554469e-05,0.002969576843175995,,,Phase2
24,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999902307148727,0.26353306458498066,6.512856751550445e-06,0.0029576985358032905,,,Phase2
25,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999941384289236,0.2664789323266407,3.907714050921385e-06,0.002945867741660077,,,Phase2
26,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999964830573541,0.26941301659733413,2.344628430561713e-06,0.002934084270693437,,,Phase2
27,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999978898344125,0.2723353645309448,1.4067770583547912e-06,0.0029223479336106637,,,Phase2
28,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999987339006475,0.27524602307282103,8.440662349951112e-07,0.002910658541876221,,,Phase2
29,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999992403403886,0.2781450389805297,5.064397409881849e-07,0.0028990159077087155,,,Phase2
30,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999995442042331,0.2810324588246076,3.038638445751474e-07,0.002887419844077881,,,Phase2
31,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999997265225399,0.2839083289893092,1.82318306762852e-07,0.0028758701647015696,,,Phase2
32,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999998359135239,0.28677269567335195,1.0939098404882941e-07,0.0028643666840427635,,,Phase2
33,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999015481144,0.28962560489065853,6.563459042929765e-08,0.0028529092173065923,,,Phase2
34,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999409288686,0.2924671024710959,3.938075425757859e-08,0.0028414975804373663,,,Phase2
35,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999645573211,0.29529723406121156,2.362845257231072e-08,0.0028301315901156166,,,Phase2
36,,,,1.0,0.4,Blocking_4,1.0,0.01,0.9999999787343926,0.2981160451249667,1.4177071561150002e-08,0.002818811063755154,,,Phase2
